Year,Rank,High,Low
2024,4,36.3,23.8
2023,3,36.5,23.7
2022,25,35.6,23.3
2021,2,36.5,23.8
2020,9,35.9,23.6
2019,21,35.8,23.3
2018,9,35.8,23.7
2017,9,36,23.5
2016,6,36,23.8
2015,19,35.8,23.4
2014,15,35.8,23.5
2013,23,35.8,23.2
2012,37,35.3,23.2
2011,14,36,23.4
2010,7,36.1,23.6
2009,9,36,23.5
2008,49,35.4,22.7
2007,21,35.8,23.3
2006,27,35.8,23.1
2005,8,35.9,23.7
2004,15,35.9,23.4
2003,23,35.8,23.2
2002,17,35.9,23.3
2001,34,35.8,22.8
2000,43,35.6,22.7
1999,47,35.2,22.9
1998,17,35.7,23.5
1997,30,35.5,23.1
1996,37,35.7,22.8
1995,50,35.3,22.7
1994,86,34.6,22.7
1993,42,35.5,22.9
1992,90,34.7,22.5
1991,47,35,23.1
1990,30,35.7,22.9
1989,71,35,22.5
1988,50,35,23
1987,13,36.1,23.3
1986,53,35.1,22.8
1985,43,35.1,23.2
1984,34,35.3,23.3
1983,30,35.5,23.1
1982,71,34.9,22.6
1981,56,35.3,22.6
